sale_id,date,store_id,product_id,units_sold,revenue
SALE-20260508-S002-P004,2026-05-08,S002,P004,0,0.0
SALE-20260508-S002-P005,2026-05-08,S002,P005,12,5290.8
SALE-20260508-S002-P006,2026-05-08,S002,P006,3,2513.97
SALE-20260508-S002-P007,2026-05-08,S002,P007,0,0.0
SALE-20260508-S002-P008,2026-05-08,S002,P008,13,11493.95
SALE-20260508-S002-P009,2026-05-08,S002,P009,10,7561.9
SALE-20260508-S002-P010,2026-05-08,S002,P010,17,16773.9
SALE-20260508-S002-P011,2026-05-08,S002,P011,3,656.7
SALE-20260508-S002-P012,2026-05-08,S002,P012,12,2265.96
SALE-20260508-S002-P013,2026-05-08,S002,P013,15,12973.2
SALE-20260508-S002-P014,2026-05-08,S002,P014,11,4333.01
SALE-20260508-S002-P015,2026-05-08,S002,P015,1,195.12
SALE-20260508-S002-P016,2026-05-08,S002,P016,16,4226.72
SALE-20260508-S002-P017,2026-05-08,S002,P017,8,4027.92
SALE-20260508-S002-P018,2026-05-08,S002,P018,20,7354.0
SALE-20260508-S002-P019,2026-05-08,S002,P019,11,8890.97
SALE-20260508-S002-P020,2026-05-08,S002,P020,16,10305.76
SALE-20260508-S002-P021,2026-05-08,S002,P021,8,1579.76
SALE-20260508-S002-P022,2026-05-08,S002,P022,6,4371.24
SALE-20260508-S002-P023,2026-05-08,S002,P023,6,4798.2
SALE-20260508-S002-P024,2026-05-08,S002,P024,9,1344.6
SALE-20260508-S002-P025,2026-05-08,S002,P025,2,1380.94
SALE-20260508-S002-P026,2026-05-08,S002,P026,15,12298.2
SALE-20260508-S002-P027,2026-05-08,S002,P027,19,11198.22
SALE-20260508-S002-P028,2026-05-08,S002,P028,6,334.02
SALE-20260508-S002-P029,2026-05-08,S002,P029,16,3762.08
SALE-20260508-S002-P030,2026-05-08,S002,P030,2,461.32
SALE-20260508-S002-P031,2026-05-08,S002,P031,11,3205.62
SALE-20260508-S002-P032,2026-05-08,S002,P032,8,5012.8
SALE-20260508-S002-P033,2026-05-08,S002,P033,11,7424.01
SALE-20260508-S002-P034,2026-05-08,S002,P034,10,1693.9
SALE-20260508-S002-P035,2026-05-08,S002,P035,14,1716.12
SALE-20260508-S002-P036,2026-05-08,S002,P036,5,936.95
SALE-20260508-S002-P037,2026-05-08,S002,P037,24,4496.4
SALE-20260508-S002-P038,2026-05-08,S002,P038,8,3094.64
SALE-20260508-S002-P039,2026-05-08,S002,P039,2,1268.2
SALE-20260508-S002-P040,2026-05-08,S002,P040,12,1932.6
SALE-20260508-S002-P041,2026-05-08,S002,P041,13,12797.07
SALE-20260508-S002-P042,2026-05-08,S002,P042,15,16027.35
SALE-20260508-S002-P043,2026-05-08,S002,P043,25,18364.0
SALE-20260508-S002-P044,2026-05-08,S002,P044,2,269.9
SALE-20260508-S002-P045,2026-05-08,S002,P045,17,7576.05
SALE-20260508-S002-P046,2026-05-08,S002,P046,3,1667.79
SALE-20260508-S002-P047,2026-05-08,S002,P047,7,6600.93
SALE-20260508-S002-P048,2026-05-08,S002,P048,2,947.56
SALE-20260508-S002-P049,2026-05-08,S002,P049,12,7615.92
SALE-20260508-S002-P050,2026-05-08,S002,P050,0,0.0
SALE-20260508-S003-P001,2026-05-08,S003,P001,8,6310.88
SALE-20260508-S003-P002,2026-05-08,S003,P002,5,3245.75
SALE-20260508-S003-P003,2026-05-08,S003,P003,2,2141.74
SALE-20260508-S003-P004,2026-05-08,S003,P004,0,0.0
SALE-20260508-S003-P005,2026-05-08,S003,P005,3,1322.7
SALE-20260508-S003-P006,2026-05-08,S003,P006,0,0.0
SALE-20260508-S003-P007,2026-05-08,S003,P007,7,1799.14
SALE-20260508-S003-P008,2026-05-08,S003,P008,4,3536.6
SALE-20260508-S003-P009,2026-05-08,S003,P009,8,6049.52
SALE-20260508-S003-P010,2026-05-08,S003,P010,9,8880.3
SALE-20260508-S003-P011,2026-05-08,S003,P011,0,0.0
SALE-20260508-S003-P012,2026-05-08,S003,P012,11,2077.13
SALE-20260508-S003-P013,2026-05-08,S003,P013,8,6919.04
SALE-20260508-S003-P014,2026-05-08,S003,P014,12,4726.92
SALE-20260508-S003-P015,2026-05-08,S003,P015,2,390.24
SALE-20260508-S003-P016,2026-05-08,S003,P016,5,1320.85
SALE-20260508-S003-P017,2026-05-08,S003,P017,5,2517.45
SALE-20260508-S003-P018,2026-05-08,S003,P018,9,3309.3
SALE-20260508-S003-P019,2026-05-08,S003,P019,9,7274.43
SALE-20260508-S003-P020,2026-05-08,S003,P020,7,4508.77
SALE-20260508-S003-P021,2026-05-08,S003,P021,5,987.35
SALE-20260508-S003-P022,2026-05-08,S003,P022,9,6556.86
SALE-20260508-S003-P023,2026-05-08,S003,P023,6,4798.2
SALE-20260508-S003-P024,2026-05-08,S003,P024,11,1643.4
SALE-20260508-S003-P025,2026-05-08,S003,P025,0,0.0
SALE-20260508-S003-P026,2026-05-08,S003,P026,9,7378.92
SALE-20260508-S003-P027,2026-05-08,S003,P027,7,4125.66
SALE-20260508-S003-P028,2026-05-08,S003,P028,3,167.01
SALE-20260508-S003-P029,2026-05-08,S003,P029,6,1410.78
SALE-20260508-S003-P030,2026-05-08,S003,P030,2,461.32
SALE-20260508-S003-P031,2026-05-08,S003,P031,13,3788.46
SALE-20260508-S003-P032,2026-05-08,S003,P032,3,1879.8
SALE-20260508-S003-P033,2026-05-08,S003,P033,10,6749.1
SALE-20260508-S003-P034,2026-05-08,S003,P034,10,1693.9
SALE-20260508-S003-P035,2026-05-08,S003,P035,9,1103.22
SALE-20260508-S003-P036,2026-05-08,S003,P036,4,749.56
SALE-20260508-S003-P037,2026-05-08,S003,P037,12,2248.2
SALE-20260508-S003-P038,2026-05-08,S003,P038,5,1934.15
SALE-20260508-S003-P039,2026-05-08,S003,P039,2,1268.2
SALE-20260508-S003-P040,2026-05-08,S003,P040,7,1127.35
SALE-20260508-S003-P041,2026-05-08,S003,P041,2,1968.78
SALE-20260508-S003-P042,2026-05-08,S003,P042,9,9616.41
SALE-20260508-S003-P043,2026-05-08,S003,P043,10,7345.6
SALE-20260508-S003-P044,2026-05-08,S003,P044,6,809.7
SALE-20260508-S003-P045,2026-05-08,S003,P045,18,8021.7
SALE-20260508-S003-P046,2026-05-08,S003,P046,3,1667.79
SALE-20260508-S003-P047,2026-05-08,S003,P047,6,5657.94
SALE-20260508-S003-P048,2026-05-08,S003,P048,3,1421.34
SALE-20260508-S003-P049,2026-05-08,S003,P049,7,4442.62
SALE-20260509-S001-P001,2026-05-09,S001,P001,14,11044.04
SALE-20260509-S001-P002,2026-05-09,S001,P002,13,8438.95
SALE-20260509-S001-P003,2026-05-09,S001,P003,5,5354.35
SALE-20260509-S001-P004,2026-05-09,S001,P004,1,152.15
SALE-20260509-S001-P005,2026-05-09,S001,P005,12,5290.8
SALE-20260509-S001-P006,2026-05-09,S001,P006,2,1675.98
SALE-20260509-S001-P007,2026-05-09,S001,P007,12,3084.24
SALE-20260509-S001-P008,2026-05-09,S001,P008,15,13262.25
SALE-20260509-S001-P009,2026-05-09,S001,P009,5,3780.95
SALE-20260509-S001-P010,2026-05-09,S001,P010,16,15787.2
SALE-20260509-S001-P011,2026-05-09,S001,P011,4,875.6
SALE-20260509-S001-P012,2026-05-09,S001,P012,18,3398.94
SALE-20260509-S001-P013,2026-05-09,S001,P013,11,9513.68
SALE-20260509-S001-P014,2026-05-09,S001,P014,14,5514.74
SALE-20260509-S001-P015,2026-05-09,S001,P015,6,1170.72
SALE-20260509-S001-P016,2026-05-09,S001,P016,10,2641.7
SALE-20260509-S001-P017,2026-05-09,S001,P017,7,3524.43
SALE-20260509-S001-P018,2026-05-09,S001,P018,20,7354.0
SALE-20260509-S001-P019,2026-05-09,S001,P019,7,5657.89
SALE-20260509-S001-P020,2026-05-09,S001,P020,10,6441.1
SALE-20260509-S001-P021,2026-05-09,S001,P021,10,1974.7
SALE-20260509-S001-P022,2026-05-09,S001,P022,7,5099.78
SALE-20260509-S001-P023,2026-05-09,S001,P023,12,9596.4
SALE-20260509-S001-P024,2026-05-09,S001,P024,3,448.2
SALE-20260509-S001-P025,2026-05-09,S001,P025,2,1380.94
SALE-20260509-S001-P026,2026-05-09,S001,P026,16,13118.08
SALE-20260509-S001-P027,2026-05-09,S001,P027,11,6483.18
SALE-20260509-S001-P028,2026-05-09,S001,P028,5,278.35
SALE-20260509-S001-P029,2026-05-09,S001,P029,13,3056.69
SALE-20260509-S001-P030,2026-05-09,S001,P030,5,1153.3
SALE-20260509-S001-P031,2026-05-09,S001,P031,9,2622.78
SALE-20260509-S001-P032,2026-05-09,S001,P032,2,1253.2
SALE-20260509-S001-P033,2026-05-09,S001,P033,7,4724.37
SALE-20260509-S001-P034,2026-05-09,S001,P034,12,2032.68
SALE-20260509-S001-P035,2026-05-09,S001,P035,19,2329.02
SALE-20260509-S001-P036,2026-05-09,S001,P036,3,562.17
SALE-20260509-S001-P037,2026-05-09,S001,P037,17,3184.95
SALE-20260509-S001-P038,2026-05-09,S001,P038,3,1160.49
SALE-20260509-S001-P039,2026-05-09,S001,P039,2,1268.2
SALE-20260509-S001-P040,2026-05-09,S001,P040,9,1449.45
SALE-20260509-S001-P041,2026-05-09,S001,P041,8,7875.12
SALE-20260509-S001-P042,2026-05-09,S001,P042,20,21369.8
SALE-20260509-S001-P043,2026-05-09,S001,P043,14,10283.84
SALE-20260509-S001-P044,2026-05-09,S001,P044,5,674.75
SALE-20260509-S001-P045,2026-05-09,S001,P045,13,5793.45
SALE-20260509-S001-P046,2026-05-09,S001,P046,4,2223.72
SALE-20260509-S001-P047,2026-05-09,S001,P047,9,8486.91
SALE-20260509-S001-P048,2026-05-09,S001,P048,3,1421.34
SALE-20260509-S001-P049,2026-05-09,S001,P049,21,13327.86
SALE-20260509-S001-P050,2026-05-09,S001,P050,4,1561.52
SALE-20260509-S002-P001,2026-05-09,S002,P001,12,9466.32
SALE-20260509-S002-P002,2026-05-09,S002,P002,9,5842.35
SALE-20260509-S002-P003,2026-05-09,S002,P003,4,4283.48
SALE-20260509-S002-P004,2026-05-09,S002,P004,0,0.0
SALE-20260509-S002-P005,2026-05-09,S002,P005,12,5290.8
SALE-20260509-S002-P006,2026-05-09,S002,P006,8,6703.92
SALE-20260509-S002-P007,2026-05-09,S002,P007,0,0.0
SALE-20260509-S002-P008,2026-05-09,S002,P008,11,9725.65
SALE-20260509-S002-P009,2026-05-09,S002,P009,6,4537.14
SALE-20260509-S002-P010,2026-05-09,S002,P010,16,15787.2
SALE-20260509-S002-P011,2026-05-09,S002,P011,4,875.6
SALE-20260509-S002-P012,2026-05-09,S002,P012,29,5476.07
SALE-20260509-S002-P013,2026-05-09,S002,P013,17,14702.96
SALE-20260509-S002-P014,2026-05-09,S002,P014,19,7484.29
SALE-20260509-S002-P015,2026-05-09,S002,P015,0,0.0
SALE-20260509-S002-P016,2026-05-09,S002,P016,11,2905.87
SALE-20260509-S002-P017,2026-05-09,S002,P017,9,4531.41
SALE-20260509-S002-P018,2026-05-09,S002,P018,18,6618.6
SALE-20260509-S002-P019,2026-05-09,S002,P019,10,8082.7
SALE-20260509-S002-P020,2026-05-09,S002,P020,14,9017.54
SALE-20260509-S002-P021,2026-05-09,S002,P021,10,1974.7
SALE-20260509-S002-P022,2026-05-09,S002,P022,10,7285.4
SALE-20260509-S002-P023,2026-05-09,S002,P023,16,12795.2
SALE-20260509-S002-P024,2026-05-09,S002,P024,10,1494.0
SALE-20260509-S002-P025,2026-05-09,S002,P025,2,1380.94
SALE-20260509-S002-P026,2026-05-09,S002,P026,16,13118.08
SALE-20260509-S002-P027,2026-05-09,S002,P027,19,11198.22
SALE-20260509-S002-P028,2026-05-09,S002,P028,2,111.34
SALE-20260509-S002-P029,2026-05-09,S002,P029,11,2586.43
SALE-20260509-S002-P030,2026-05-09,S002,P030,5,1153.3
SALE-20260509-S002-P031,2026-05-09,S002,P031,14,4079.88
SALE-20260509-S002-P032,2026-05-09,S002,P032,7,4386.2
SALE-20260509-S002-P033,2026-05-09,S002,P033,21,14173.11
SALE-20260509-S002-P034,2026-05-09,S002,P034,10,1693.9
SALE-20260509-S002-P035,2026-05-09,S002,P035,21,2574.18
SALE-20260509-S002-P036,2026-05-09,S002,P036,5,936.95
SALE-20260509-S002-P037,2026-05-09,S002,P037,32,5995.2
SALE-20260509-S002-P038,2026-05-09,S002,P038,10,3868.3
SALE-20260509-S002-P039,2026-05-09,S002,P039,7,4438.7
SALE-20260509-S002-P040,2026-05-09,S002,P040,11,1771.55
SALE-20260509-S002-P041,2026-05-09,S002,P041,7,6890.73
SALE-20260509-S002-P042,2026-05-09,S002,P042,12,12821.88
SALE-20260509-S002-P043,2026-05-09,S002,P043,8,5876.48
SALE-20260509-S002-P044,2026-05-09,S002,P044,7,944.65
SALE-20260509-S002-P045,2026-05-09,S002,P045,21,9358.65
SALE-20260509-S002-P046,2026-05-09,S002,P046,8,4447.44
SALE-20260509-S002-P047,2026-05-09,S002,P047,8,7543.92
SALE-20260509-S002-P048,2026-05-09,S002,P048,7,3316.46
SALE-20260509-S002-P049,2026-05-09,S002,P049,13,8250.58
SALE-20260509-S002-P050,2026-05-09,S002,P050,7,2732.66
SALE-20260509-S003-P001,2026-05-09,S003,P001,8,6310.88
SALE-20260509-S003-P002,2026-05-09,S003,P002,11,7140.65
SALE-20260509-S003-P003,2026-05-09,S003,P003,5,5354.35
SALE-20260509-S003-P004,2026-05-09,S003,P004,2,304.3
SALE-20260509-S003-P005,2026-05-09,S003,P005,8,3527.2
SALE-20260509-S003-P006,2026-05-09,S003,P006,5,4189.95
SALE-20260509-S003-P007,2026-05-09,S003,P007,13,3341.26
SALE-20260509-S003-P008,2026-05-09,S003,P008,6,5304.9
SALE-20260509-S003-P009,2026-05-09,S003,P009,7,5293.33
SALE-20260509-S003-P010,2026-05-09,S003,P010,8,7893.6
SALE-20260509-S003-P011,2026-05-09,S003,P011,1,218.9
SALE-20260509-S003-P012,2026-05-09,S003,P012,13,2454.79
SALE-20260509-S003-P013,2026-05-09,S003,P013,8,6919.04
SALE-20260509-S003-P014,2026-05-09,S003,P014,11,4333.01
SALE-20260509-S003-P015,2026-05-09,S003,P015,4,780.48
SALE-20260509-S003-P016,2026-05-09,S003,P016,12,3170.04
SALE-20260509-S003-P017,2026-05-09,S003,P017,5,2517.45
SALE-20260509-S003-P018,2026-05-09,S003,P018,17,6250.9
SALE-20260509-S003-P019,2026-05-09,S003,P019,8,6466.16
SALE-20260509-S003-P020,2026-05-09,S003,P020,9,5796.99
SALE-20260509-S003-P021,2026-05-09,S003,P021,1,197.47
SALE-20260509-S003-P022,2026-05-09,S003,P022,4,2914.16
SALE-20260509-S003-P023,2026-05-09,S003,P023,6,4798.2
SALE-20260509-S003-P024,2026-05-09,S003,P024,12,1792.8
SALE-20260509-S003-P025,2026-05-09,S003,P025,1,690.47
SALE-20260509-S003-P026,2026-05-09,S003,P026,8,6559.04
SALE-20260509-S003-P027,2026-05-09,S003,P027,10,5893.8
SALE-20260509-S003-P028,2026-05-09,S003,P028,4,222.68
SALE-20260509-S003-P029,2026-05-09,S003,P029,6,1410.78
SALE-20260509-S003-P030,2026-05-09,S003,P030,3,691.98
SALE-20260509-S003-P031,2026-05-09,S003,P031,13,3788.46
SALE-20260509-S003-P032,2026-05-09,S003,P032,6,3759.6
SALE-20260509-S003-P033,2026-05-09,S003,P033,15,10123.65
SALE-20260509-S003-P034,2026-05-09,S003,P034,12,2032.68
SALE-20260509-S003-P035,2026-05-09,S003,P035,10,1225.8
SALE-20260509-S003-P036,2026-05-09,S003,P036,5,936.95
SALE-20260509-S003-P037,2026-05-09,S003,P037,16,2997.6
SALE-20260509-S003-P038,2026-05-09,S003,P038,3,1160.49
SALE-20260509-S003-P039,2026-05-09,S003,P039,2,1268.2
SALE-20260509-S003-P040,2026-05-09,S003,P040,5,805.25
SALE-20260509-S003-P041,2026-05-09,S003,P041,7,6890.73
SALE-20260509-S003-P042,2026-05-09,S003,P042,12,12821.88
SALE-20260509-S003-P043,2026-05-09,S003,P043,9,6611.04
SALE-20260509-S003-P044,2026-05-09,S003,P044,6,809.7
SALE-20260509-S003-P045,2026-05-09,S003,P045,13,5793.45
SALE-20260509-S003-P046,2026-05-09,S003,P046,5,2779.65
SALE-20260509-S003-P047,2026-05-09,S003,P047,7,6600.93
SALE-20260509-S003-P048,2026-05-09,S003,P048,2,947.56
SALE-20260509-S003-P049,2026-05-09,S003,P049,14,8885.24
SALE-20260510-S001-P001,2026-05-10,S001,P001,11,8677.46
SALE-20260510-S001-P002,2026-05-10,S001,P002,7,4544.05
SALE-20260510-S001-P003,2026-05-10,S001,P003,5,5354.35
SALE-20260510-S001-P004,2026-05-10,S001,P004,4,608.6
SALE-20260510-S001-P005,2026-05-10,S001,P005,13,5731.7
SALE-20260510-S001-P006,2026-05-10,S001,P006,3,2513.97
SALE-20260510-S001-P007,2026-05-10,S001,P007,10,2570.2
SALE-20260510-S001-P008,2026-05-10,S001,P008,10,8841.5
SALE-20260510-S001-P009,2026-05-10,S001,P009,12,9074.28
SALE-20260510-S001-P010,2026-05-10,S001,P010,11,10853.7
SALE-20260510-S001-P011,2026-05-10,S001,P011,4,875.6
SALE-20260510-S001-P012,2026-05-10,S001,P012,12,2265.96
SALE-20260510-S001-P013,2026-05-10,S001,P013,1,864.88
SALE-20260510-S001-P014,2026-05-10,S001,P014,13,5120.83
SALE-20260510-S001-P015,2026-05-10,S001,P015,1,195.12
SALE-20260510-S001-P016,2026-05-10,S001,P016,11,2905.87
SALE-20260510-S001-P017,2026-05-10,S001,P017,15,7552.35
SALE-20260510-S001-P018,2026-05-10,S001,P018,21,7721.7
SALE-20260510-S001-P019,2026-05-10,S001,P019,14,11315.78
SALE-20260510-S001-P020,2026-05-10,S001,P020,10,6441.1
SALE-20260510-S001-P021,2026-05-10,S001,P021,5,987.35
SALE-20260510-S001-P022,2026-05-10,S001,P022,4,2914.16
SALE-20260510-S001-P023,2026-05-10,S001,P023,6,4798.2
SALE-20260510-S001-P024,2026-05-10,S001,P024,5,747.0
SALE-20260510-S001-P025,2026-05-10,S001,P025,2,1380.94
SALE-20260510-S001-P026,2026-05-10,S001,P026,10,8198.8
SALE-20260510-S001-P027,2026-05-10,S001,P027,18,10608.84
SALE-20260510-S001-P028,2026-05-10,S001,P028,5,278.35
SALE-20260510-S001-P029,2026-05-10,S001,P029,8,1881.04
SALE-20260510-S001-P030,2026-05-10,S001,P030,2,461.32
SALE-20260510-S001-P031,2026-05-10,S001,P031,12,3497.04
SALE-20260510-S001-P032,2026-05-10,S001,P032,7,4386.2
SALE-20260510-S001-P033,2026-05-10,S001,P033,4,2699.64
SALE-20260510-S001-P034,2026-05-10,S001,P034,13,2202.07
SALE-20260510-S001-P035,2026-05-10,S001,P035,10,1225.8
SALE-20260510-S001-P036,2026-05-10,S001,P036,3,562.17
SALE-20260510-S001-P037,2026-05-10,S001,P037,18,3372.3
SALE-20260510-S001-P038,2026-05-10,S001,P038,4,1547.32
SALE-20260510-S001-P039,2026-05-10,S001,P039,4,2536.4
SALE-20260510-S001-P040,2026-05-10,S001,P040,9,1449.45
SALE-20260510-S001-P041,2026-05-10,S001,P041,11,10828.29
SALE-20260510-S001-P042,2026-05-10,S001,P042,10,10684.9
SALE-20260510-S001-P043,2026-05-10,S001,P043,17,12487.52
SALE-20260510-S001-P044,2026-05-10,S001,P044,6,809.7
SALE-20260510-S001-P045,2026-05-10,S001,P045,22,9804.3
SALE-20260510-S001-P046,2026-05-10,S001,P046,6,3335.58
SALE-20260510-S001-P047,2026-05-10,S001,P047,7,6600.93
SALE-20260510-S001-P048,2026-05-10,S001,P048,4,1895.12
SALE-20260510-S001-P049,2026-05-10,S001,P049,16,10154.56
SALE-20260510-S001-P050,2026-05-10,S001,P050,4,1561.52
SALE-20260510-S002-P001,2026-05-10,S002,P001,11,8677.46
SALE-20260510-S002-P002,2026-05-10,S002,P002,7,4544.05
SALE-20260510-S002-P003,2026-05-10,S002,P003,6,6425.22
SALE-20260510-S002-P004,2026-05-10,S002,P004,0,0.0
SALE-20260510-S002-P005,2026-05-10,S002,P005,17,7495.3
SALE-20260510-S002-P006,2026-05-10,S002,P006,4,3351.96
SALE-20260510-S002-P007,2026-05-10,S002,P007,0,0.0
SALE-20260510-S002-P008,2026-05-10,S002,P008,21,18567.15
SALE-20260510-S002-P009,2026-05-10,S002,P009,10,7561.9
SALE-20260510-S002-P010,2026-05-10,S002,P010,18,17760.6
SALE-20260510-S002-P011,2026-05-10,S002,P011,3,656.7
SALE-20260510-S002-P012,2026-05-10,S002,P012,16,3021.28
SALE-20260510-S002-P013,2026-05-10,S002,P013,8,6919.04
SALE-20260510-S002-P014,2026-05-10,S002,P014,14,5514.74
SALE-20260510-S002-P015,2026-05-10,S002,P015,5,975.6
SALE-20260510-S002-P016,2026-05-10,S002,P016,10,2641.7
SALE-20260510-S002-P017,2026-05-10,S002,P017,11,5538.39
SALE-20260510-S002-P018,2026-05-10,S002,P018,16,5883.2
SALE-20260510-S002-P019,2026-05-10,S002,P019,20,16165.4
SALE-20260510-S002-P020,2026-05-10,S002,P020,13,8373.43
SALE-20260510-S002-P021,2026-05-10,S002,P021,7,1382.29
SALE-20260510-S002-P022,2026-05-10,S002,P022,5,3642.7
SALE-20260510-S002-P023,2026-05-10,S002,P023,8,6397.6
SALE-20260510-S002-P024,2026-05-10,S002,P024,9,1344.6
SALE-20260510-S002-P025,2026-05-10,S002,P025,1,690.47
SALE-20260510-S002-P026,2026-05-10,S002,P026,25,20497.0
SALE-20260510-S002-P027,2026-05-10,S002,P027,19,11198.22
SALE-20260510-S002-P028,2026-05-10,S002,P028,9,501.03
SALE-20260510-S002-P029,2026-05-10,S002,P029,7,1645.91
SALE-20260510-S002-P030,2026-05-10,S002,P030,3,691.98
SALE-20260510-S002-P031,2026-05-10,S002,P031,20,5828.4
SALE-20260510-S002-P032,2026-05-10,S002,P032,4,2506.4
SALE-20260510-S002-P033,2026-05-10,S002,P033,13,8773.83
SALE-20260510-S002-P034,2026-05-10,S002,P034,21,3557.19
SALE-20260510-S002-P035,2026-05-10,S002,P035,23,2819.34
SALE-20260510-S002-P036,2026-05-10,S002,P036,4,749.56
SALE-20260510-S002-P037,2026-05-10,S002,P037,14,2622.9
SALE-20260510-S002-P038,2026-05-10,S002,P038,10,3868.3
SALE-20260510-S002-P039,2026-05-10,S002,P039,4,2536.4
SALE-20260510-S002-P040,2026-05-10,S002,P040,13,2093.65
SALE-20260510-S002-P041,2026-05-10,S002,P041,7,6890.73
SALE-20260510-S002-P042,2026-05-10,S002,P042,13,13890.37
SALE-20260510-S002-P043,2026-05-10,S002,P043,18,13222.08
SALE-20260510-S002-P044,2026-05-10,S002,P044,8,1079.6
SALE-20260510-S002-P045,2026-05-10,S002,P045,14,6239.1
SALE-20260510-S002-P046,2026-05-10,S002,P046,9,5003.37
SALE-20260510-S002-P047,2026-05-10,S002,P047,10,9429.9
SALE-20260510-S002-P048,2026-05-10,S002,P048,6,2842.68
SALE-20260510-S002-P049,2026-05-10,S002,P049,20,12693.2
SALE-20260510-S002-P050,2026-05-10,S002,P050,3,1171.14
SALE-20260510-S003-P001,2026-05-10,S003,P001,8,6310.88
SALE-20260510-S003-P002,2026-05-10,S003,P002,8,5193.2
SALE-20260510-S003-P003,2026-05-10,S003,P003,2,2141.74
SALE-20260510-S003-P004,2026-05-10,S003,P004,7,1065.05
SALE-20260510-S003-P005,2026-05-10,S003,P005,8,3527.2
SALE-20260510-S003-P006,2026-05-10,S003,P006,2,1675.98
SALE-20260510-S003-P007,2026-05-10,S003,P007,18,4626.36
SALE-20260510-S003-P008,2026-05-10,S003,P008,7,6189.05
SALE-20260510-S003-P009,2026-05-10,S003,P009,2,1512.38
SALE-20260510-S003-P010,2026-05-10,S003,P010,13,12827.1
SALE-20260510-S003-P011,2026-05-10,S003,P011,1,218.9
SALE-20260510-S003-P012,2026-05-10,S003,P012,11,2077.13
SALE-20260510-S003-P013,2026-05-10,S003,P013,5,4324.4
SALE-20260510-S003-P014,2026-05-10,S003,P014,6,2363.46
