inventory_id,date,store_id,product_id,current_stock,reorder_level
INV-20260509-S001-P022,2026-05-09,S001,P022,290,41.0
INV-20260509-S001-P023,2026-05-09,S001,P023,197,59.0
INV-20260509-S001-P024,2026-05-09,S001,P024,198,51.0
INV-20260509-S001-P025,2026-05-09,S001,P025,379,12.0
INV-20260509-S001-P026,2026-05-09,S001,P026,433,88.0
INV-20260509-S001-P027,2026-05-09,S001,P027,300,95.0
INV-20260509-S001-P028,2026-05-09,S001,P028,323,23.0
INV-20260509-S001-P029,2026-05-09,S001,P029,187,62.0
INV-20260509-S001-P030,2026-05-09,S001,P030,161,20.0
INV-20260509-S001-P031,2026-05-09,S001,P031,356,74.0
INV-20260509-S001-P032,2026-05-09,S001,P032,392,37.0
INV-20260509-S001-P033,2026-05-09,S001,P033,381,72.0
INV-20260509-S001-P034,2026-05-09,S001,P034,136,79.0
INV-20260509-S001-P035,2026-05-09,S001,P035,383,83.0
INV-20260509-S001-P036,2026-05-09,S001,P036,114,20.0
INV-20260509-S001-P037,2026-05-09,S001,P037,458,97.0
INV-20260509-S001-P038,2026-05-09,S001,P038,357,32.0
INV-20260509-S001-P039,2026-05-09,S001,P039,380,14.0
INV-20260509-S001-P040,2026-05-09,S001,P040,115,62.0
INV-20260509-S001-P041,2026-05-09,S001,P041,316,45.0
INV-20260509-S001-P042,2026-05-09,S001,P042,106,88.0
INV-20260509-S001-P043,2026-05-09,S001,P043,176,86.0
INV-20260509-S001-P044,2026-05-09,S001,P044,268,40.0
INV-20260509-S001-P045,2026-05-09,S001,P045,304,100.0
INV-20260509-S001-P046,2026-05-09,S001,P046,369,37.0
INV-20260509-S001-P047,2026-05-09,S001,P047,74,59.0
INV-20260509-S001-P048,2026-05-09,S001,P048,141,34.0
INV-20260509-S001-P049,2026-05-09,S001,P049,143,98.0
INV-20260509-S001-P050,2026-05-09,S001,P050,177,26.0
INV-20260509-S002-P001,2026-05-09,S002,P001,401,57.0
INV-20260509-S002-P002,2026-05-09,S002,P002,329,41.0
INV-20260509-S002-P003,2026-05-09,S002,P003,182,24.0
INV-20260509-S002-P004,2026-05-09,S002,P004,410,20.0
INV-20260509-S002-P005,2026-05-09,S002,P005,225,66.0
INV-20260509-S002-P006,2026-05-09,S002,P006,239,26.0
INV-20260509-S002-P007,2026-05-09,S002,P007,227,97.0
INV-20260509-S002-P008,2026-05-09,S002,P008,104,65.0
INV-20260509-S002-P009,2026-05-09,S002,P009,381,43.0
INV-20260509-S002-P010,2026-05-09,S002,P010,316,66.0
INV-20260509-S002-P011,2026-05-09,S002,P011,132,12.0
INV-20260509-S002-P012,2026-05-09,S002,P012,117,101.0
INV-20260509-S002-P013,2026-05-09,S002,P013,142,56.0
INV-20260509-S002-P014,2026-05-09,S002,P014,94,84.0
INV-20260509-S002-P015,2026-05-09,S002,P015,85,18.0
INV-20260509-S002-P016,2026-05-09,S002,P016,283,56.0
INV-20260509-S002-P017,2026-05-09,S002,P017,392,56.0
INV-20260509-S002-P018,2026-05-09,S002,P018,479,99.0
INV-20260509-S002-P019,2026-05-09,S002,P019,159,64.0
INV-20260509-S002-P020,2026-05-09,S002,P020,222,55.0
INV-20260509-S002-P021,2026-05-09,S002,P021,377,35.0
INV-20260509-S002-P022,2026-05-09,S002,P022,300,41.0
INV-20260509-S002-P023,2026-05-09,S002,P023,318,59.0
INV-20260509-S002-P024,2026-05-09,S002,P024,258,51.0
INV-20260509-S002-P025,2026-05-09,S002,P025,217,12.0
INV-20260509-S002-P026,2026-05-09,S002,P026,116,88.0
INV-20260509-S002-P027,2026-05-09,S002,P027,335,95.0
INV-20260509-S002-P028,2026-05-09,S002,P028,345,23.0
INV-20260509-S002-P029,2026-05-09,S002,P029,312,62.0
INV-20260509-S002-P030,2026-05-09,S002,P030,316,20.0
INV-20260509-S002-P031,2026-05-09,S002,P031,83,74.0
INV-20260509-S002-P032,2026-05-09,S002,P032,316,37.0
INV-20260509-S002-P033,2026-05-09,S002,P033,328,72.0
INV-20260509-S002-P034,2026-05-09,S002,P034,104,79.0
INV-20260509-S002-P035,2026-05-09,S002,P035,192,83.0
INV-20260509-S002-P036,2026-05-09,S002,P036,112,20.0
INV-20260509-S002-P037,2026-05-09,S002,P037,216,97.0
INV-20260509-S002-P038,2026-05-09,S002,P038,377,32.0
INV-20260509-S002-P039,2026-05-09,S002,P039,98,14.0
INV-20260509-S002-P040,2026-05-09,S002,P040,192,62.0
INV-20260509-S002-P041,2026-05-09,S002,P041,390,45.0
INV-20260509-S002-P042,2026-05-09,S002,P042,155,88.0
INV-20260509-S002-P043,2026-05-09,S002,P043,91,86.0
INV-20260509-S002-P044,2026-05-09,S002,P044,237,40.0
INV-20260509-S002-P045,2026-05-09,S002,P045,214,100.0
INV-20260509-S002-P046,2026-05-09,S002,P046,294,37.0
INV-20260509-S002-P047,2026-05-09,S002,P047,171,59.0
INV-20260509-S002-P048,2026-05-09,S002,P048,395,34.0
INV-20260509-S002-P049,2026-05-09,S002,P049,232,98.0
INV-20260509-S002-P050,2026-05-09,S002,P050,170,26.0
INV-20260509-S003-P001,2026-05-09,S003,P001,390,57.0
INV-20260509-S003-P002,2026-05-09,S003,P002,378,41.0
INV-20260509-S003-P003,2026-05-09,S003,P003,242,24.0
INV-20260509-S003-P004,2026-05-09,S003,P004,86,20.0
INV-20260509-S003-P005,2026-05-09,S003,P005,271,66.0
INV-20260509-S003-P006,2026-05-09,S003,P006,263,26.0
INV-20260509-S003-P007,2026-05-09,S003,P007,110,97.0
INV-20260509-S003-P008,2026-05-09,S003,P008,285,65.0
INV-20260509-S003-P009,2026-05-09,S003,P009,350,43.0
INV-20260509-S003-P010,2026-05-09,S003,P010,99,66.0
INV-20260509-S003-P011,2026-05-09,S003,P011,324,12.0
INV-20260509-S003-P012,2026-05-09,S003,P012,103,101.0
INV-20260509-S003-P013,2026-05-09,S003,P013,318,56.0
INV-20260509-S003-P014,2026-05-09,S003,P014,199,84.0
INV-20260509-S003-P015,2026-05-09,S003,P015,76,18.0
INV-20260509-S003-P016,2026-05-09,S003,P016,391,56.0
INV-20260509-S003-P017,2026-05-09,S003,P017,126,56.0
INV-20260509-S003-P018,2026-05-09,S003,P018,256,99.0
INV-20260509-S003-P019,2026-05-09,S003,P019,124,64.0
INV-20260509-S003-P020,2026-05-09,S003,P020,381,55.0
INV-20260509-S003-P021,2026-05-09,S003,P021,325,35.0
INV-20260509-S003-P022,2026-05-09,S003,P022,340,41.0
INV-20260509-S003-P023,2026-05-09,S003,P023,214,59.0
INV-20260509-S003-P024,2026-05-09,S003,P024,215,51.0
INV-20260509-S003-P025,2026-05-09,S003,P025,294,12.0
INV-20260509-S003-P026,2026-05-09,S003,P026,329,88.0
INV-20260509-S003-P027,2026-05-09,S003,P027,350,95.0
INV-20260509-S003-P028,2026-05-09,S003,P028,79,23.0
INV-20260509-S003-P029,2026-05-09,S003,P029,293,62.0
INV-20260509-S003-P030,2026-05-09,S003,P030,112,20.0
INV-20260509-S003-P031,2026-05-09,S003,P031,151,74.0
INV-20260509-S003-P032,2026-05-09,S003,P032,353,37.0
INV-20260509-S003-P033,2026-05-09,S003,P033,140,72.0
INV-20260509-S003-P034,2026-05-09,S003,P034,328,79.0
INV-20260509-S003-P035,2026-05-09,S003,P035,218,83.0
INV-20260509-S003-P036,2026-05-09,S003,P036,150,20.0
INV-20260509-S003-P037,2026-05-09,S003,P037,165,97.0
INV-20260509-S003-P038,2026-05-09,S003,P038,252,32.0
INV-20260509-S003-P039,2026-05-09,S003,P039,336,14.0
INV-20260509-S003-P040,2026-05-09,S003,P040,274,62.0
INV-20260509-S003-P041,2026-05-09,S003,P041,388,45.0
INV-20260509-S003-P042,2026-05-09,S003,P042,354,88.0
INV-20260509-S003-P043,2026-05-09,S003,P043,317,86.0
INV-20260509-S003-P044,2026-05-09,S003,P044,273,40.0
INV-20260509-S003-P045,2026-05-09,S003,P045,147,100.0
INV-20260509-S003-P046,2026-05-09,S003,P046,212,37.0
INV-20260509-S003-P047,2026-05-09,S003,P047,107,59.0
INV-20260509-S003-P048,2026-05-09,S003,P048,202,34.0
INV-20260509-S003-P049,2026-05-09,S003,P049,374,98.0
INV-20260510-S001-P001,2026-05-10,S001,P001,228,57.0
INV-20260510-S001-P002,2026-05-10,S001,P002,69,41.0
INV-20260510-S001-P003,2026-05-10,S001,P003,169,24.0
INV-20260510-S001-P004,2026-05-10,S001,P004,222,20.0
INV-20260510-S001-P005,2026-05-10,S001,P005,378,66.0
INV-20260510-S001-P006,2026-05-10,S001,P006,409,26.0
INV-20260510-S001-P007,2026-05-10,S001,P007,98,97.0
INV-20260510-S001-P008,2026-05-10,S001,P008,351,65.0
INV-20260510-S001-P009,2026-05-10,S001,P009,85,43.0
INV-20260510-S001-P010,2026-05-10,S001,P010,296,66.0
INV-20260510-S001-P011,2026-05-10,S001,P011,358,12.0
INV-20260510-S001-P012,2026-05-10,S001,P012,339,101.0
INV-20260510-S001-P013,2026-05-10,S001,P013,129,56.0
INV-20260510-S001-P014,2026-05-10,S001,P014,347,84.0
INV-20260510-S001-P015,2026-05-10,S001,P015,109,18.0
INV-20260510-S001-P016,2026-05-10,S001,P016,223,56.0
INV-20260510-S001-P017,2026-05-10,S001,P017,206,56.0
INV-20260510-S001-P018,2026-05-10,S001,P018,137,99.0
INV-20260510-S001-P019,2026-05-10,S001,P019,313,64.0
INV-20260510-S001-P020,2026-05-10,S001,P020,307,55.0
INV-20260510-S001-P021,2026-05-10,S001,P021,176,35.0
INV-20260510-S001-P022,2026-05-10,S001,P022,286,41.0
INV-20260510-S001-P023,2026-05-10,S001,P023,191,59.0
INV-20260510-S001-P024,2026-05-10,S001,P024,193,51.0
INV-20260510-S001-P025,2026-05-10,S001,P025,377,12.0
INV-20260510-S001-P026,2026-05-10,S001,P026,423,88.0
INV-20260510-S001-P027,2026-05-10,S001,P027,282,95.0
INV-20260510-S001-P028,2026-05-10,S001,P028,318,23.0
INV-20260510-S001-P029,2026-05-10,S001,P029,179,62.0
INV-20260510-S001-P030,2026-05-10,S001,P030,159,20.0
INV-20260510-S001-P031,2026-05-10,S001,P031,344,74.0
INV-20260510-S001-P032,2026-05-10,S001,P032,385,37.0
INV-20260510-S001-P033,2026-05-10,S001,P033,377,72.0
INV-20260510-S001-P034,2026-05-10,S001,P034,123,79.0
INV-20260510-S001-P035,2026-05-10,S001,P035,373,83.0
INV-20260510-S001-P036,2026-05-10,S001,P036,111,20.0
INV-20260510-S001-P037,2026-05-10,S001,P037,440,97.0
INV-20260510-S001-P038,2026-05-10,S001,P038,353,32.0
INV-20260510-S001-P039,2026-05-10,S001,P039,376,14.0
INV-20260510-S001-P040,2026-05-10,S001,P040,106,62.0
INV-20260510-S001-P041,2026-05-10,S001,P041,305,45.0
INV-20260510-S001-P042,2026-05-10,S001,P042,96,88.0
INV-20260510-S001-P043,2026-05-10,S001,P043,159,86.0
INV-20260510-S001-P044,2026-05-10,S001,P044,262,40.0
INV-20260510-S001-P045,2026-05-10,S001,P045,282,100.0
INV-20260510-S001-P046,2026-05-10,S001,P046,363,37.0
INV-20260510-S001-P047,2026-05-10,S001,P047,67,59.0
INV-20260510-S001-P048,2026-05-10,S001,P048,137,34.0
INV-20260510-S001-P049,2026-05-10,S001,P049,127,98.0
INV-20260510-S001-P050,2026-05-10,S001,P050,173,26.0
INV-20260510-S002-P001,2026-05-10,S002,P001,390,57.0
INV-20260510-S002-P002,2026-05-10,S002,P002,322,41.0
INV-20260510-S002-P003,2026-05-10,S002,P003,176,24.0
INV-20260510-S002-P004,2026-05-10,S002,P004,410,20.0
INV-20260510-S002-P005,2026-05-10,S002,P005,208,66.0
INV-20260510-S002-P006,2026-05-10,S002,P006,235,26.0
INV-20260510-S002-P007,2026-05-10,S002,P007,227,97.0
INV-20260510-S002-P008,2026-05-10,S002,P008,83,65.0
INV-20260510-S002-P009,2026-05-10,S002,P009,371,43.0
INV-20260510-S002-P010,2026-05-10,S002,P010,298,66.0
INV-20260510-S002-P011,2026-05-10,S002,P011,129,12.0
INV-20260510-S002-P012,2026-05-10,S002,P012,505,101.0
INV-20260510-S002-P013,2026-05-10,S002,P013,134,56.0
INV-20260510-S002-P014,2026-05-10,S002,P014,417,84.0
INV-20260510-S002-P015,2026-05-10,S002,P015,80,18.0
INV-20260510-S002-P016,2026-05-10,S002,P016,273,56.0
INV-20260510-S002-P017,2026-05-10,S002,P017,381,56.0
INV-20260510-S002-P018,2026-05-10,S002,P018,463,99.0
INV-20260510-S002-P019,2026-05-10,S002,P019,139,64.0
INV-20260510-S002-P020,2026-05-10,S002,P020,209,55.0
INV-20260510-S002-P021,2026-05-10,S002,P021,370,35.0
INV-20260510-S002-P022,2026-05-10,S002,P022,295,41.0
INV-20260510-S002-P023,2026-05-10,S002,P023,310,59.0
INV-20260510-S002-P024,2026-05-10,S002,P024,249,51.0
INV-20260510-S002-P025,2026-05-10,S002,P025,216,12.0
INV-20260510-S002-P026,2026-05-10,S002,P026,91,88.0
INV-20260510-S002-P027,2026-05-10,S002,P027,316,95.0
INV-20260510-S002-P028,2026-05-10,S002,P028,336,23.0
INV-20260510-S002-P029,2026-05-10,S002,P029,305,62.0
INV-20260510-S002-P030,2026-05-10,S002,P030,313,20.0
INV-20260510-S002-P031,2026-05-10,S002,P031,359,74.0
INV-20260510-S002-P032,2026-05-10,S002,P032,312,37.0
INV-20260510-S002-P033,2026-05-10,S002,P033,315,72.0
INV-20260510-S002-P034,2026-05-10,S002,P034,83,79.0
INV-20260510-S002-P035,2026-05-10,S002,P035,169,83.0
INV-20260510-S002-P036,2026-05-10,S002,P036,108,20.0
INV-20260510-S002-P037,2026-05-10,S002,P037,202,97.0
INV-20260510-S002-P038,2026-05-10,S002,P038,367,32.0
INV-20260510-S002-P039,2026-05-10,S002,P039,94,14.0
INV-20260510-S002-P040,2026-05-10,S002,P040,179,62.0
INV-20260510-S002-P041,2026-05-10,S002,P041,383,45.0
INV-20260510-S002-P042,2026-05-10,S002,P042,142,88.0
INV-20260510-S002-P043,2026-05-10,S002,P043,420,86.0
INV-20260510-S002-P044,2026-05-10,S002,P044,229,40.0
INV-20260510-S002-P045,2026-05-10,S002,P045,200,100.0
INV-20260510-S002-P046,2026-05-10,S002,P046,285,37.0
INV-20260510-S002-P047,2026-05-10,S002,P047,161,59.0
INV-20260510-S002-P048,2026-05-10,S002,P048,389,34.0
INV-20260510-S002-P049,2026-05-10,S002,P049,212,98.0
INV-20260510-S002-P050,2026-05-10,S002,P050,167,26.0
INV-20260510-S003-P001,2026-05-10,S003,P001,382,57.0
INV-20260510-S003-P002,2026-05-10,S003,P002,370,41.0
INV-20260510-S003-P003,2026-05-10,S003,P003,240,24.0
INV-20260510-S003-P004,2026-05-10,S003,P004,79,20.0
INV-20260510-S003-P005,2026-05-10,S003,P005,263,66.0
INV-20260510-S003-P006,2026-05-10,S003,P006,261,26.0
INV-20260510-S003-P007,2026-05-10,S003,P007,483,97.0
INV-20260510-S003-P008,2026-05-10,S003,P008,278,65.0
INV-20260510-S003-P009,2026-05-10,S003,P009,348,43.0
INV-20260510-S003-P010,2026-05-10,S003,P010,86,66.0
INV-20260510-S003-P011,2026-05-10,S003,P011,323,12.0
INV-20260510-S003-P012,2026-05-10,S003,P012,496,101.0
INV-20260510-S003-P013,2026-05-10,S003,P013,313,56.0
INV-20260510-S003-P014,2026-05-10,S003,P014,193,84.0
INV-20260510-S003-P015,2026-05-10,S003,P015,74,18.0
INV-20260510-S003-P016,2026-05-10,S003,P016,381,56.0
INV-20260510-S003-P017,2026-05-10,S003,P017,122,56.0
INV-20260510-S003-P018,2026-05-10,S003,P018,240,99.0
INV-20260510-S003-P019,2026-05-10,S003,P019,120,64.0
INV-20260510-S003-P020,2026-05-10,S003,P020,371,55.0
INV-20260510-S003-P021,2026-05-10,S003,P021,319,35.0
INV-20260510-S003-P022,2026-05-10,S003,P022,335,41.0
INV-20260510-S003-P023,2026-05-10,S003,P023,207,59.0
INV-20260510-S003-P024,2026-05-10,S003,P024,214,51.0
INV-20260510-S003-P025,2026-05-10,S003,P025,292,12.0
INV-20260510-S003-P026,2026-05-10,S003,P026,314,88.0
INV-20260510-S003-P027,2026-05-10,S003,P027,336,95.0
INV-20260510-S003-P028,2026-05-10,S003,P028,78,23.0
INV-20260510-S003-P029,2026-05-10,S003,P029,282,62.0
INV-20260510-S003-P030,2026-05-10,S003,P030,110,20.0
INV-20260510-S003-P031,2026-05-10,S003,P031,135,74.0
INV-20260510-S003-P032,2026-05-10,S003,P032,348,37.0
INV-20260510-S003-P033,2026-05-10,S003,P033,132,72.0
INV-20260510-S003-P034,2026-05-10,S003,P034,323,79.0
INV-20260510-S003-P035,2026-05-10,S003,P035,205,83.0
INV-20260510-S003-P036,2026-05-10,S003,P036,144,20.0
INV-20260510-S003-P037,2026-05-10,S003,P037,150,97.0
